Emp ID,Name,Gender,Department,Salary,Start Date,FTE,Employee type,Date of termination,Manager?,Location
PR00007,Torrance  Collier,Female,Training,"$96,136 ",13-Nov-20,1,Permanent,31-Mar-22,Manager,"Bellevue, USA"
PR00025,Shay Chasney,Male,Human Resources,"$72,545 ",25-Sep-21,1,Permanent,,Manager,"Bellevue, USA"
PR00074,Garey Bird,Female,Product Management,"$31,834 ",26-Jul-18,1,Permanent,,Staff,"Bellevue, USA"
PR00265,Eward Astlett,Male,Engineering,"$41,666 ",23-Jul-18,1,Permanent,,Staff,"Bellevue, USA"
PR00485,Marcia Muldrew,Female,Sales,"$71,513 ",8-Sep-19,1,Permanent,29-Mar-22,Manager,"Bellevue, USA"
PR00497,Moore Gligoraci,Female,Training,"$49,525 ",10-Aug-20,1,Permanent,,Staff,"Bellevue, USA"
PR00562,Lonny Caen,Female,Research and Development,"$35,983 ",26-Jul-20,1,Permanent,,Staff,"Bellevue, USA"
PR00576,Lion  Adcock,Female,Legal,"$63,705 ",5-Dec-19,1,Permanent,,Staff,"Bellevue, USA"
PR00589,Fedora Graffin,Male,Research and Development,"$92,497 ",27-Dec-21,0.5,Permanent,,Staff,"Bellevue, USA"
PR00677,Karon Oscroft,Male,Marketing,"$112,123 ",25-Oct-18,1,Permanent,,Staff,"Bellevue, USA"
PR00686,Jessika Jaycocks,Female,Research and Development,"$67,985 ",25-Sep-18,1,Permanent,,Manager,"Bellevue, USA"
PR00746,Hogan Iles,Female,Accounting,"$114,177 ",18-Jul-20,1,Permanent,,Staff,"Bellevue, USA"
PR00770,Beryl Burnsyde,Male,Legal,"$29,775 ",1-Feb-21,1,Permanent,,Staff,"Bellevue, USA"
PR00852,Lorrie Derycot,Female,Support,"$93,274 ",24-Oct-21,1,Permanent,,Manager,"Bellevue, USA"
PR00882, Jill Shipsey,Male,Accounting,"$52,964 ",2-Aug-21,0.3,Permanent,,Staff,"Bellevue, USA"
PR00889,Philis Rowlstone,Female,Human Resources,"$85,744 ",9-May-19,1,Permanent,,Staff,"Bellevue, USA"
PR00902,Cathyleen Hurch,Female,Sales,"$49,394 ",14-Apr-21,1,Permanent,,Staff,"Bellevue, USA"
PR01085,Odessa Pusill,Female,NULL,"$41,001 ",18-Oct-18,1,Permanent,,Staff,"Bellevue, USA"
PR01134,Dael Bugge,Male,Training,"$62,689 ",22-Dec-18,1,Permanent,,Staff,"Bellevue, USA"
PR01155,Helene Bouts,Male,Sales,"$70,378 ",16-Jan-20,1,Permanent,2-Dec-21,Staff,"Bellevue, USA"
PR01159,Mollie  Hanway,Male,NULL,"$112,646 ",21-Feb-20,0.6,Permanent,,Staff,"Bellevue, USA"
PR01211,Enoch Dowrey,Male,Accounting,"$91,645 ",27-May-21,1,Permanent,,Staff,"Bellevue, USA"
PR01272,Shari Pickston,Male,Legal,"$96,320 ",7-Jan-21,1,Permanent,,Staff,"Bellevue, USA"
