Emp ID,Name,Gender,Department,Salary,Start Date,FTE,Employee type,Date of termination,Manager?,Location
PR00095,Ardella Dyment,Female,Business Development,"$70,649 ",13-May-20,1,Permanent,,Staff,"Los Angeles, USA"
PR00150,Staford Brood,Female,NULL,"$39,796 ",17-Oct-19,1,Permanent,,Manager,"Los Angeles, USA"
PR00210,Marquita Liquorish,Female,Legal,,29-Oct-20,1,Permanent,,Staff,"Los Angeles, USA"
PR00246,Husein Augar,Female,Marketing,"$67,906 ",29-Apr-21,1,Permanent,,Staff,"Los Angeles, USA"
PR00292, Romona Dimmne,Female,Research and Development,"$48,252 ",19-Aug-18,0.4,Permanent,,Staff,"Los Angeles, USA"
PR00393,Eddy Stolze,Male,Training,"$47,757 ",4-Jul-21,1,Permanent,,Manager,"Los Angeles, USA"
PR00419,Billi Fellgate,Female,Business Development,"$68,981 ",29-May-19,0.8,Permanent,,Staff,"Los Angeles, USA"
PR00512,Terrijo Winsor,Female,Marketing,"$62,652 ",14-Apr-21,1,Permanent,,Staff,"Los Angeles, USA"
PR00530, Doro Nolte,Female,Services,"$109,048 ",18-Oct-18,1,Permanent,,Staff,"Los Angeles, USA"
PR00620,Corabel Luberto,Female,Human Resources,"$57,818 ",9-May-18,1,Permanent,,Staff,"Los Angeles, USA"
PR00627,Mella Northam,Male,Support,"$109,125 ",11-Oct-21,1,Permanent,21-Mar-22,Staff,"Los Angeles, USA"
PR00651,Reena McKernan,Female,Marketing,"$104,750 ",16-May-18,0.4,Permanent,,Manager,"Los Angeles, USA"
PR00671,Genovera Ghost,Male,Marketing,"$72,160 ",16-Aug-18,0.3,Permanent,,Staff,"Los Angeles, USA"
PR00721,Marco Wooland,Female,Services,"$85,528 ",9-Jul-18,1,Permanent,,Staff,"Los Angeles, USA"
PR00820,Caro Chappel,Female,Sales,"$104,410 ",15-Apr-21,1,Permanent,,Staff,"Los Angeles, USA"
PR00893,Daisie McNeice,Male,Human Resources,"$50,310 ",30-Jul-21,0.4,Permanent,,Manager,"Los Angeles, USA"
PR00937,Skip Morkham ,Female,Marketing,"$83,179 ",14-Sep-19,1,Permanent,,Manager,"Los Angeles, USA"
PR01128,Ruthanne Beadnell ,Female,Accounting,"$103,609 ",18-Jan-19,1,Permanent,,Manager,"Los Angeles, USA"
PR01206,Reube  Sushams,Male,Marketing,"$90,132 ",27-Oct-18,1,Permanent,5-Mar-20,Staff,"Los Angeles, USA"
PR01330,Caritta Searl,Male,Sales,"$54,013 ",16-Aug-18,1,Permanent,,Staff,"Los Angeles, USA"
PR01377,Rudyard Tomsa,Female,Marketing,"$43,896 ",25-Dec-20,0.4,Permanent,,Manager,"Los Angeles, USA"
PR01476,Joli Jodrelle,Male,Services,"$77,096 ",27-Aug-18,1,Permanent,,Staff,"Los Angeles, USA"
PR01479,Trey Jurges,Female,Legal,"$72,360 ",12-Jul-20,1,Permanent,,Manager,"Los Angeles, USA"
PR01504, Ryun Fasset,Male,NULL,"$101,124 ",14-Sep-18,0.9,Permanent,,Staff,"Los Angeles, USA"
PR01652,Rose Shurrocks,Female,Research and Development,"$32,140 ",26-Sep-21,1,Permanent,14-Apr-22,Manager,"Los Angeles, USA"
PR01780,Peria Revey,,Engineering,"$103,243 ",26-Mar-19,1,Permanent,,Manager,"Los Angeles, USA"
PR01789,Murry Dryburgh,Male,Research and Development,"$69,066 ",2-Dec-18,1,Permanent,,Staff,"Los Angeles, USA"
PR01830, Doralyn Segar,Female,Support,"$29,997 ",8-Jun-19,1,Permanent,,Staff,"Los Angeles, USA"
PR01872,Joana Bartocci,Male,Human Resources,"$52,674 ",14-May-19,0.8,Permanent,,Manager,"Los Angeles, USA"
PR01904,Jessica Burditt,Female,Services,"$97,120 ",22-Jul-18,0.6,Permanent,,Staff,"Los Angeles, USA"
PR01943,Erin Androsik,Male,Human Resources,"$48,526 ",13-Oct-18,1,Permanent,26-Nov-20,Manager,"Los Angeles, USA"
PR01956, Jamesy O'Ferris,Male,Accounting,"$36,548 ",12-Mar-19,1,Permanent,,Staff,"Los Angeles, USA"
PR01988,Nelli Schoolfield,Female,Engineering,"$109,871 ",27-Mar-20,1,Permanent,,Staff,"Los Angeles, USA"
PR02010,Eilis Pavlasek,Male,Product Management,"$115,191 ",22-Oct-20,1,Permanent,,Staff,"Los Angeles, USA"
PR02016,Iris  Wagg,Female,NULL,"$58,861 ",8-Nov-19,1,Permanent,21-Jul-21,Staff,"Los Angeles, USA"
PR02113,Beverie Moffet,Female,Support,"$75,975 ",7-Apr-21,1,Permanent,13-Jan-22,Staff,"Los Angeles, USA"
PR02145,Esmaria Denecamp,Male,Marketing,"$48,980 ",8-Jul-21,1,Permanent,,Manager,"Los Angeles, USA"
PR02208,Vernor Atyea,Female,Training,"$102,934 ",29-Aug-21,1,Permanent,,Manager,"Los Angeles, USA"
