Emp ID,Name,Gender,Department,Salary,Start Date,FTE,Employee type,Date of termination,Manager?,Location
PR00087,Ali  Roubert,,Engineering,"$69,458 ",17-Jan-21,0.4,Permanent,24-Sep-21,Staff,"Wellington, NZ"
PR00113,Van Tuxwell,Female,Business Development,"$80,696 ",17-Jan-19,1,Permanent,,Staff,"Wellington, NZ"
PR00147,Minerva Ricardot,Male,Legal,"$105,469 ",12-Mar-19,1,Permanent,,Manager,"Wellington, NZ"
PR00157,Carmel Pancoust,Female,Services,"$119,546 ",18-Apr-19,1,Permanent,,Manager,"Wellington, NZ"
PR00170,Sharl Bendson,Female,Business Development,"$33,632 ",11-Dec-21,1,Permanent,,Manager,"Wellington, NZ"
PR00184,Jacklyn Andrioletti,Female,Training,"$86,994 ",9-Jun-18,1,Permanent,,Staff,"Wellington, NZ"
PR00211,Eberto William,Female,Research and Development,"$57,750 ",14-Mar-19,1,Permanent,27-Sep-19,Staff,"Wellington, NZ"
PR00251,Mariette Daymont,Female,Sales,"$99,531 ",17-Jan-21,0.2,Permanent,,Staff,"Wellington, NZ"
PR00380,Benny Karolovsky,,Human Resources,"$115,437 ",18-Jun-19,1,Permanent,,Staff,"Wellington, NZ"
PR00389,Meara Darrington,Male,Engineering,"$76,190 ",3-Jul-20,1,Permanent,,Staff,"Wellington, NZ"
PR00595,Lia Lurner,Female,Support,"$77,261 ",8-May-18,1,Permanent,24-Jan-20,Staff,"Wellington, NZ"
PR00642,Van Ruseworth,Female,Services,"$80,605 ",22-Jul-21,1,Permanent,,Manager,"Wellington, NZ"
PR00710,Alissa Schoenfisch,Female,Accounting,"$32,166 ",16-Jun-21,1,Permanent,,Manager,"Wellington, NZ"
PR00742,Maritsa Marusic ,Male,Research and Development,"$52,749 ",28-Feb-19,1,Permanent,,Staff,"Wellington, NZ"
PR00791,Caron Pleven,Female,Human Resources,,10-Apr-19,1,Permanent,,Staff,"Wellington, NZ"
PR00856,Janaya MacGinlay,Female,Support,"$33,054 ",4-Aug-18,0.8,Permanent,16-May-19,Staff,"Wellington, NZ"
PR00938,Marni Jull,Female,Services,"$84,200 ",30-Nov-20,1,Permanent,13-Aug-21,Staff,"Wellington, NZ"
PR00945,Marga Lorenzo,Female,Legal,"$89,356 ",6-Apr-20,0.6,Permanent,,Staff,"Wellington, NZ"
PR01011,Sarajane Scourge,Female,Business Development,"$58,833 ",13-Jan-22,0.2,Permanent,,Staff,"Wellington, NZ"
PR01055,Gavan Puttan,Male,Accounting,"$35,936 ",21-Sep-18,1,Permanent,,Staff,"Wellington, NZ"
PR01066,Merrilee Plenty,Female,Research and Development,"$87,622 ",23-Jan-20,1,Permanent,,Staff,"Wellington, NZ"
